speed_p,speed_r,speed_d,distance_d_p,distance_d_r,angle_d,possTimePre,possessionTime,flag
2.14,2.06,3.26,2.21,8.34,1.01,0.64,0.84,1
2.46,3.05,1.58,9.41,9.58,0.82,0.00,2.64,1
4.85,1.35,4.51,1.39,19.85,0.06,8.92,11.56,0
5.55,0.79,4.42,1.42,20.02,0.11,1.88,1.88,0
0.71,1.46,5.15,4.97,2.92,2.19,3.72,3.72,1
0.75,3.48,4.43,4.89,24.73,1.11,0.80,8.28,0
4.51,3.25,5.83,14.21,9.53,2.20,3.16,5.48,1
2.80,6.05,3.51,13.64,21.40,0.47,2.28,3.36,1
1.58,2.15,3.36,10.35,4.53,1.20,2.88,6.36,1
0.56,1.00,2.50,6.44,10.41,0.91,1.32,7.96,1
1.12,1.50,3.29,8.37,8.96,0.62,1.64,10.60,1
4.81,0.90,3.88,2.02,7.71,1.81,2.16,12.76,1
4.25,8.00,3.20,13.76,4.88,0.34,2.16,15.48,1
8.73,5.52,3.91,5.09,10.28,0.24,0.84,17.60,1
3.95,5.10,2.30,1.24,4.85,1.24,1.48,19.12,1
4.51,0.90,1.58,4.61,6.00,0.75,0.80,19.96,0
5.84,6.82,7.97,12.76,12.50,1.28,2.20,21.92,1
2.06,1.68,1.46,24.60,89.31,0.01,3.08,27.16,0
1.35,2.57,1.03,31.71,11.88,0.33,14.32,27.44,0
0.35,2.55,5.51,10.46,7.38,1.70,5.28,13.64,1
2.12,5.02,7.75,4.47,16.92,0.64,3.68,18.32,1
3.29,0.25,3.76,12.76,9.77,0.14,2.84,22.32,1
4.53,2.57,1.75,3.84,8.49,0.23,1.84,24.44,1
5.81,6.79,4.81,1.02,11.32,2.24,0.88,28.04,1
2.69,0.71,1.58,38.92,11.94,0.18,1.96,74.40,0
7.52,1.75,2.80,8.22,11.05,0.11,0.44,1.48,1
5.06,6.96,4.27,4.14,27.88,1.42,2.64,5.52,1
7.04,11.15,8.25,10.41,4.85,0.85,0.64,7.88,1
3.69,3.48,6.09,3.92,9.44,0.65,7.64,12.76,1
6.01,4.37,4.65,4.40,8.84,0.76,2.00,15.96,1
4.37,7.46,5.27,6.11,22.52,2.18,1.16,18.84,1
1.03,0.50,2.36,11.36,0.71,2.34,2.60,23.56,1
1.35,1.27,0.71,0.72,11.40,0.02,2.60,26.16,0
3.81,1.52,4.07,1.17,9.26,1.91,3.96,4.68,1
3.88,0.56,1.75,56.60,23.88,1.37,1.92,11.12,0
0.90,3.13,4.19,31.64,4.12,0.24,7.40,12.20,0
8.75,2.14,2.02,1.87,2.24,2.81,1.52,1.52,1
4.25,0.75,5.01,3.11,7.99,1.47,0.00,2.28,1
4.59,2.51,3.16,4.65,1.73,2.55,3.12,5.64,1
2.85,1.35,2.24,6.40,6.62,0.21,1.40,7.40,1
3.91,1.77,2.30,15.21,10.79,0.74,1.52,10.48,1
8.50,10.04,2.83,4.96,2.14,0.48,1.64,12.12,1
3.36,2.15,2.57,4.06,10.54,0.53,2.20,14.88,1
3.09,1.80,2.83,5.36,12.30,1.77,1.76,17.12,1
2.61,4.81,3.82,2.26,11.03,0.37,4.40,22.36,1
4.37,4.72,4.81,6.26,7.38,2.21,1.84,25.20,1
1.58,6.05,4.14,5.28,16.60,2.93,0.84,27.64,1
2.46,3.16,1.12,13.30,5.65,0.17,0.00,1.36,0
2.55,1.52,3.72,6.16,3.32,1.99,0.40,0.92,1
0.35,1.06,2.92,1.65,7.32,1.37,0.64,1.88,1
7.85,3.34,6.36,6.35,4.08,0.28,0.56,3.28,0
1.90,1.68,1.95,3.69,8.01,0.47,1.40,1.84,0
2.85,1.06,3.02,2.31,4.16,0.01,0.32,0.64,1
3.54,2.47,3.26,4.05,15.70,2.23,3.52,4.56,1
2.26,2.37,5.02,13.46,9.34,0.39,1.32,6.44,1
4.37,5.00,3.54,17.70,10.08,0.05,1.48,6.80,0
2.30,1.90,3.51,3.77,10.52,0.18,4.08,4.08,0
1.52,3.54,2.37,1.04,8.99,1.11,2.52,3.00,1
4.91,6.49,5.06,1.00,2.10,2.04,6.44,9.44,0
