speed_p	speed_r	speed_d	distance_d_p	distance_d_r	distance_d1_p	distance_d2_r	angle_d	angle_d1_p	angle_d2_r	possTimePre	possessionTime	flag
4.76	1.03	2.02	9.95	15.4	9.95	15.4	2.12	2.12	0.6	2.76	10.2	1
1.35	1.03	1.46	13.79	16.01	4.77	10.82	0.52	1.11	1.98	1.88	13.96	1
2.46	4.85	3.25	4.94	12.87	4.94	12.87	1.6	1.6	1.08	0.56	15.64	1
2.15	3.34	4.37	6.79	10.07	6.79	7	0.43	0.43	0.83	2.04	18.8	1
0.35	1.25	1.52	4.67	12.03	4.3	8.41	2.96	0.29	2.44	1.08	20.48	1
3.95	2.69	5.77	4.3	28.57	4.3	19.95	1.05	1.05	0.82	3.12	24.96	1
0.79	2.06	3.91	9.2	15.13	5.01	11.32	1.07	1.32	0.21	3	29.04	1
0.9	4.12	2.66	0.64	9.86	0.64	9.86	0.24	0.24	0.61	0.64	24.52	1
2.51	4.28	4.37	2.08	26.74	2.08	2.1	2.74	2.74	0.33	2.12	29.4	1
5.52	2.7	6.17	3.14	17.21	3.14	2.02	0.09	0.09	2.83	7.04	55.16	0
4.83	6.17	5.76	5.81	17.11	1.86	3.16	2.96	3.03	0.04	0.76	3.28	1
3.4	0.9	4.67	3.31	13.64	3.31	11.81	0.25	0.25	0.01	2	2.56	1
0.5	1.06	3.01	28.04	57.3	2.61	28.7	0.02	0.56	0.45	0.84	5.32	0
2	3.18	0.25	5.56	7.4	5.56	1.7	1.71	1.71	1.93	0.8	18.28	1
3.91	3.75	1.68	1.3	4.26	1.3	4.26	0.95	0.95	2.03	2.36	7.2	0
2.3	4.92	4.53	37.95	39.25	2.91	14.71	0.14	0.91	0.58	1.12	2.24	0
3.09	4.37	3.58	7.6	14.21	7.6	10.3	1.28	1.28	1.71	2.84	3.96	1
2.85	1.41	2.8	11.96	9.27	1.42	9.27	1.62	1.88	1.01	3.04	8.12	1
3.2	5.83	6.18	4.65	8.22	4.65	8.22	1.04	1.04	0.21	1.28	10.84	1
1.95	2.24	5.27	3.93	16.1	3.93	5.52	0.51	0.51	0.8	1.68	16.2	0
1.27	0.5	4.01	10.31	6.66	4.48	6.66	1.09	0.03	0.29	0.48	1.2	1
1.9	1.35	2.85	9.26	7	2.68	7	0.3	1.85	1.89	3.76	6.48	0
5.39	5.34	3.34	0.5	7.28	0.5	4.61	2.41	2.41	0.45	2.2	2.36	1
1.12	6.09	5.32	1.92	12.58	1.92	2.97	2.17	2.17	1.05	1.64	5.64	1
