speed_p,speed_r,speed_d,distance_d_p,distance_d_r,angle_d,possTimePre,possessionTime,flag
3.58,2.80,1.77,3.84,8.49,0.23,1.84,24.44,1
1.68,6.33,3.16,1.02,11.32,2.24,0.88,28.04,1
0.25,1.41,1.03,38.92,20.59,0.05,1.96,74.40,0
1.60,3.51,3.58,8.22,11.05,0.11,0.44,1.48,1
3.04,6.40,3.25,17.67,14.33,1.06,2.64,5.52,1
6.37,7.75,8.20,10.41,4.85,0.85,0.64,7.88,1
4.37,3.20,0.90,3.92,9.44,0.65,7.64,12.76,1
5.49,3.01,5.30,4.40,8.84,0.76,2.00,15.96,1
2.93,7.21,5.66,6.11,22.52,2.18,1.16,18.84,1
1.25,3.58,3.64,4.26,6.63,0.31,2.60,23.56,1
1.35,1.27,0.71,0.72,11.40,0.02,2.60,26.16,0
2.75,0.50,3.16,1.17,9.26,1.91,3.96,4.68,1
1.12,2.46,4.07,56.60,68.40,0.01,1.92,11.12,0
0.79,2.15,1.27,31.64,20.39,0.01,7.40,12.20,0
8.75,2.14,2.02,1.87,2.24,2.81,1.52,1.52,1
2.14,0.50,3.76,3.11,7.99,1.47,0.00,2.28,1
4.65,1.03,3.58,4.65,1.73,2.55,3.12,5.64,1
3.05,1.68,2.80,6.40,6.62,0.21,1.40,7.40,1
2.50,3.51,2.61,15.21,10.79,0.74,1.52,10.48,1
8.50,10.04,2.83,4.96,2.14,0.48,1.64,12.12,1
4.04,3.01,3.69,4.06,10.54,0.53,2.20,14.88,1
1.90,0.25,2.92,5.36,12.30,1.77,1.76,17.12,1
5.88,1.25,1.27,2.26,11.03,0.37,4.40,22.36,1
4.10,3.29,2.80,1.84,10.40,1.15,1.84,25.20,1
3.02,6.80,8.19,5.28,16.60,2.93,0.84,27.64,1
1.35,1.25,2.85,13.30,5.65,0.17,0.00,1.36,0
0.90,2.02,3.26,6.16,3.32,1.99,0.40,0.92,1
0.56,1.25,2.55,1.65,7.32,1.37,0.64,1.88,1
1.77,2.37,4.45,6.35,4.08,0.28,0.56,3.28,0
2.66,1.06,1.27,3.69,22.49,0.14,1.40,1.84,0
2.69,0.71,5.76,2.31,4.16,0.01,0.32,0.64,1
3.40,2.02,3.26,4.05,15.70,2.23,3.52,4.56,1
2.30,3.36,3.82,13.46,9.34,0.39,1.32,6.44,1
3.01,0.56,1.41,17.70,10.08,0.05,1.48,6.80,0
2.30,1.90,3.51,3.77,10.52,0.18,4.08,4.08,0
2.70,4.07,4.43,1.04,8.99,1.11,2.52,3.00,1
4.91,6.49,5.06,1.00,2.10,2.04,6.44,9.44,0
